Icon,Date/Time,Description,Event Type
TRUE,1/14/2009 14:51,Canon : Canon EOS 5D : 51288CDDd01,Exif
TRUE,4/1/2009 15:46,Document Created :  : ,Document Created
TRUE,4/1/2009 16:33,Document Created :  : ,Document Created
TRUE,4/1/2009 23:22,Document Created :  : ,Document Created
TRUE,4/2/2009 14:55,Document Created :  : ,Document Created
TRUE,4/2/2009 21:09,Document Created :  : ,Document Created
TRUE,4/16/2009 11:32,Document Created :  : ,Document Created
TRUE,4/16/2009 11:32,Document Last Saved :  : ,Document Last Saved
TRUE,4/16/2009 11:32,Document Created :  : ,Document Created
TRUE,4/16/2009 11:32,Document Last Saved :  : ,Document Last Saved
TRUE,4/16/2009 11:32,Document Created :  : ,Document Created
TRUE,4/16/2009 11:32,Document Last Saved :  : ,Document Last Saved
TRUE,6/12/2009 19:14,Document Created :  : ,Document Created
TRUE,11/5/2009 22:22,SONY : HDR-SR10 : DSC00003.JPG,Exif
TRUE,11/5/2009 22:22,SONY : HDR-SR10 : DSC00003.JPG,Exif
TRUE,11/5/2009 22:23,SONY : HDR-SR10 : DSC00004.JPG,Exif
TRUE,11/5/2009 22:23,SONY : HDR-SR10 : DSC00004.JPG,Exif
TRUE,11/8/2009 11:15,SONY : HDR-SR10 : DSC00005.JPG,Exif
TRUE,11/8/2009 11:15,SONY : HDR-SR10 : DSC00005.JPG,Exif
TRUE,11/8/2009 11:15,SONY : HDR-SR10 : DSC00006.JPG,Exif
TRUE,11/8/2009 11:15,SONY : HDR-SR10 : DSC00006.JPG,Exif
TRUE,11/8/2009 11:15,SONY : HDR-SR10 : DSC00007.JPG,Exif
TRUE,11/8/2009 11:15,SONY : HDR-SR10 : DSC00007.JPG,Exif
TRUE,11/8/2009 11:15,SONY : HDR-SR10 : DSC00008.JPG,Exif
TRUE,11/8/2009 11:15,SONY : HDR-SR10 : DSC00008.JPG,Exif
TRUE,11/8/2009 11:15,SONY : HDR-SR10 : DSC00009.JPG,Exif
TRUE,11/8/2009 11:15,SONY : HDR-SR10 : DSC00009.JPG,Exif
TRUE,11/8/2009 11:16,SONY : HDR-SR10 : DSC00010.JPG,Exif
TRUE,11/8/2009 11:16,SONY : HDR-SR10 : DSC00010.JPG,Exif
TRUE,11/8/2009 11:16,SONY : HDR-SR10 : DSC00011.JPG,Exif
TRUE,11/8/2009 11:16,SONY : HDR-SR10 : DSC00011.JPG,Exif
TRUE,11/8/2009 11:16,SONY : HDR-SR10 : DSC00012.JPG,Exif
TRUE,11/8/2009 11:16,SONY : HDR-SR10 : DSC00012.JPG,Exif
TRUE,11/8/2009 11:16,SONY : HDR-SR10 : DSC00013.JPG,Exif
TRUE,11/8/2009 11:16,SONY : HDR-SR10 : DSC00013.JPG,Exif
TRUE,11/8/2009 11:16,SONY : HDR-SR10 : DSC00014.JPG,Exif
TRUE,11/8/2009 11:16,SONY : HDR-SR10 : DSC00014.JPG,Exif
