Icon,Date/Time,Description,"Event Type"
true,"2009-11-05 22:22:57","SONY : HDR-SR10 : DSC00003.JPG",Exif
true,"2009-11-05 22:23:13","SONY : HDR-SR10 : DSC00004.JPG",Exif
true,"2009-11-08 11:15:07","SONY : HDR-SR10 : DSC00005.JPG",Exif
true,"2009-11-08 11:15:19","SONY : HDR-SR10 : DSC00006.JPG",Exif
true,"2009-11-08 11:15:40","SONY : HDR-SR10 : DSC00007.JPG",Exif
true,"2009-11-08 11:15:44","SONY : HDR-SR10 : DSC00008.JPG",Exif
true,"2009-11-08 11:15:53","SONY : HDR-SR10 : DSC00009.JPG",Exif
true,"2009-11-08 11:16:02","SONY : HDR-SR10 : DSC00010.JPG",Exif
true,"2009-11-08 11:16:19","SONY : HDR-SR10 : DSC00011.JPG",Exif
true,"2009-11-08 11:16:22","SONY : HDR-SR10 : DSC00012.JPG",Exif
true,"2009-11-08 11:16:29","SONY : HDR-SR10 : DSC00013.JPG",Exif
true,"2009-11-08 11:16:45","SONY : HDR-SR10 : DSC00014.JPG",Exif
true,"2009-11-08 11:17:00","SONY : HDR-SR10 : DSC00015.JPG",Exif
true,"2009-11-08 11:17:29","SONY : HDR-SR10 : DSC00016.JPG",Exif
true,"2009-11-08 11:17:37","SONY : HDR-SR10 : DSC00017.JPG",Exif
true,"2009-11-08 11:17:53","SONY : HDR-SR10 : DSC00018.JPG",Exif
true,"2009-11-08 11:18:13","SONY : HDR-SR10 : DSC00019.JPG",Exif
true,"2009-11-08 11:18:23","SONY : HDR-SR10 : DSC00020.JPG",Exif
true,"2009-11-08 11:18:36","SONY : HDR-SR10 : DSC00021.JPG",Exif
true,"2009-11-08 11:21:47","SONY : HDR-SR10 : DSC00022.JPG",Exif
true,"2009-11-08 11:22:12","SONY : HDR-SR10 : DSC00023.JPG",Exif
true,"2009-11-08 11:22:16","SONY : HDR-SR10 : DSC00024.JPG",Exif
true,"2009-11-08 11:22:19","SONY : HDR-SR10 : DSC00025.JPG",Exif
true,"2009-11-08 11:22:24","SONY : HDR-SR10 : DSC00026.JPG",Exif
true,"2009-11-08 11:22:26","SONY : HDR-SR10 : DSC00027.JPG",Exif
true,"2009-11-08 11:22:31","SONY : HDR-SR10 : DSC00028.JPG",Exif
true,"2009-11-08 11:22:35","SONY : HDR-SR10 : DSC00029.JPG",Exif
true,"2009-11-08 11:22:40","SONY : HDR-SR10 : DSC00030.JPG",Exif
true,"2009-11-08 11:22:42","SONY : HDR-SR10 : DSC00031.JPG",Exif
true,"2009-11-08 11:22:44","SONY : HDR-SR10 : DSC00032.JPG",Exif
true,"2009-11-08 11:23:01","SONY : HDR-SR10 : DSC00033.JPG",Exif
true,"2009-11-08 11:23:04","SONY : HDR-SR10 : DSC00034.JPG",Exif
true,"2009-11-08 11:23:07","SONY : HDR-SR10 : DSC00035.JPG",Exif
true,"2009-11-08 11:23:09","SONY : HDR-SR10 : DSC00036.JPG",Exif
true,"2009-11-08 11:23:12","SONY : HDR-SR10 : DSC00037.JPG",Exif
true,"2009-11-08 11:23:18","SONY : HDR-SR10 : DSC00038.JPG",Exif
true,"2009-11-08 11:23:20","SONY : HDR-SR10 : DSC00039.JPG",Exif
